,Hotel_Names,Distance,Address,City,Ratings,Votes,Prices,Features
349,OYO Flagship 93522 Kamalakanta Guest House,8.8 km,KOLKATA-700028,['Kolkata'],3.5,['22'],501, Free Wi-Fi  Power backup  Card payment  
350,SPOT ON 75881 Sonar Bangla Lodge,3.1 km,"Near Howrah railway station, Howrah AC Market",['Kolkata'],3.3,['795'],1080, Free Wi-Fi  Geyser  Power backup  
351,OYO 15722 Hotel Padmavati,9.7 km,"Biswa Bangla Sarani Behind Binany Building, Chinar Park, Beside NPG Hotel, Nibedita Apartment  700157",['Kolkata'],4.0,['390'],631, Parking facility  Free Wi-Fi  24/7 check-in  
352,OYO 5718 Pratiksha Guest House,6.1 km,Bangur Avenue Block B Kolkata West Bengal India 700055,"['Kolkata', 'Kolkata']",3.3,['7'],501, Reception  Free Wi-Fi  Caretaker  
353,Collection O 81878 Premium Hotel,9.1 km,"1/B/24, AL BLOCK, STREET NO.22,NEW TOWN, RAJARHAT, KOLKATA",[],4.6,['614'],1064, Reception  Free Wi-Fi  CCTV cameras  
354,Flagship 81224 Hotel Eden,9.0 km,Rajarhat,['Kolkata'],3.7,['318'],546, AC  TV 
355,Flagship 74641 Delightful Stay Em Byepass,5.7 km,Uttar Panchanna Gram,['Kolkata'],4.0,['2024'],1212, Parking facility  Private entrance  Reception  
356,OYO 74959 Sataksi Guest House,6.8 km,"CL 246, CL Block, Saltlake Sector 2 Near Sector 5 Metro Station",[],4.7,['677'],1578, Free Wi-Fi  Geyser  CCTV cameras  
357,Flagship 76629 Bimla Regency,8.8 km,"Police Station, Dum Dum",['Kolkata'],4.0,['487'],687, Parking facility  Reception  Free Wi-Fi  
358,Flagship 700631 Delight Room,4.6 km,Sector 1,['Kolkata'],2.2,['9'],853, Reception  Caretaker  Power backup  
359,OYO 88694 Hotel Valentine,6.8 km,Near Acropolis Mall,['Kolkata'],3.3,['135'],682, Free Wi-Fi  Geyser  CCTV cameras  
360,Townhouse Oak Hotel Lake View Royal ,4.4 km,East Topsia Road,['Kolkata'],3.9,['449'],1132, Free Wi-Fi  Geyser  Power backup  
361,OYO 90470 Senray Guest House,7.3 km,Rajarhat,['Kolkata'],3.4,['32'],621, Parking facility  Reception  Free Wi-Fi  
362,OYO 22566 Red Velvet Inn,9.7 km,"Near Chinar Park, Backside of NPG Hotel, Opposite Charnock Hospital",[],3.6,['664'],626, Elevator  Geyser  Power backup  
363,Flagship 92932 Tumpa Inn,6.5 km,Near Sector-v Metro Station,['Kolkata'],3.4,['76'],604, Reception  Caretaker  Power backup  
364,OYO Flagship 805126 Hotel New Aamaze Inn,7.6 km,near Vivanta hotel,['Kolkata'],3.9,['20'],618, Geyser  Power backup  AC  
365,Flagship 88172 Vip Inn Guest House,8.8 km,North 24 Parganas,['Kolkata'],3.0,['213'],614, Elevator  Electric Kettle  Free Wi-Fi  
366,OYO Flagship 702854 Metro Inn,6.9 km,Kolkata,"['Kolkata', 'Kolkata']",3.4,['21'],606, Parking facility  Reception  Free Wi-Fi  
367,OYO 11530 Maa Tara Guest House,9.8 km,"Near R.N.Tagore Hospital, Nitainagar",['Kolkata'],3.1,['250'],626, Reception  Free Wi-Fi  Power backup  
368,OYO Flagship 30696 Pigeon Guest House,7.1 km,,['Kolkata'],3.6,['89'],564, Free Wi-Fi  Geyser  CCTV cameras  
369,Collection O 74261 Saltlake Palace,6.0 km,4th avenue FF block Bhangar- II south 24 Parganas west Bengal India Kolkata west Bengal India 700091,['Kolkata'],4.4,['207'],1486, Free Wi-Fi  Geyser  AC  
370,Flagship 701317 Diamond Regency,7.4 km,Near Acropolis Mall,['Kolkata'],3.7,['362'],501, Parking facility  Geyser  Daily housekeeping  
371,OYO Flagship 701972 Shree Corporate,8.5 km,Sector V,['Kolkata'],4.1,['93'],691, Elevator  Free Wi-Fi  Geyser  
372,Collection O 85434 Hotel Fortune Stay,9.9 km,Chinar Park,['Kolkata'],4.2,['183'],687, Private entrance  Reception  Public washroom  
373,OYO 14778 G R Hospitality,7.6 km,"VIP Road Baguihati Kolkata Airport Near Ladies Hostel, Narayantala",['Kolkata'],4.2,['869'],890, Reception  Free Wi-Fi  Power backup  
374,OYO Townhouse 75779 The Royal Retreat,10.0 km,"Kolkata International Airport, Belghoria Express Way Noapara & Baranagar Metro Station",['Kolkata'],4.4,['4135'],1653, Geyser  Power backup  AC  
375,Flagship 37100 Apan Guest House,9.9 km,"Near Mukundapur  Bus Stop R.N Tagore Institute of Cardiac Sciences, Narayana Health",['Kolkata'],3.6,['193'],626, Free Wi-Fi  CCTV cameras  AC  
376,POP 702820 Dream Rooms,6.5 km,Kolkatanull,"['Kolkata', 'Kolkata']",NEW,[],501, Free Wi-Fi  Geyser  CCTV cameras  
377,OYO Flagship 71381 Adri Hotels,8.4 km,"Near Sarojini Naidu College for Women, Golpark, Dumdum Kolkata",['Kolkata'],4.3,['1348'],1175, Free Wi-Fi  Geyser  CCTV cameras  
378,OYO Flagship 71945 Relief Inn,8.2 km,Near Oxfoard House School ,['Kolkata'],4.0,['8'],497, AC  TV  King Sized Bed  
379,OYO Flagship 701974 Hotel Dreamline,8.5 km,Near SBI E-Corner,['Kolkata'],2.4,['8'],501, Hair Dryer  Reception  Free Wi-Fi  
380,Capital O 85376 Kabita Guest House,9.8 km,Mukundapur Main Road Seven Maddox Square Multi cuisine Restaurant Kolkata EM Bye Pass Opposite Dr. Devi Shetty Hospital,['Kolkata'],4.0,['700'],702, Doctor on call  Reception  Power backup  
381,Flagship 75235 Hotel Red Rose,8.8 km,Dum Dum,['Kolkata'],3.9,['95'],623, Interconnected room  AC  TV  
382,OYO 702008 Avenue Inn,6.0 km,Kolkata,"['Kolkata', 'Kolkata']",4.1,['205'],1104, Doctor on call  Reception  Free Wi-Fi  
383,Flagship 79536 Hotel Rockstar,3.5 km,Kolkata Opposite Bangladesh High Commission) Near A.J.C Bose Flyover,['Kolkata'],4.1,['560'],1262, Reception  Free Wi-Fi  Caretaker  
384,Townhouse OAK Shubhham Regency,6.2 km,Bidhannagar,['Kolkata'],4.6,['1037'],2562, AC  TV 
385,OYO 81663 Royal Regency,7.8 km,Rajdanga Main Road,['Kolkata'],4.5,['1109'],948, Elevator  Geyser  Power backup  
386,Flagship 74922 Penguin Homes,0.7 km,Beside Yogayog Bhavan,['Kolkata'],4.4,['1093'],1959, Free Wi-Fi  Geyser  CCTV cameras  
387,Collection O 805345 Avenue Regency,8.3 km,Tollygunge,['Kolkata'],NEW,[],947, Private entrance  Reception  Free Wi-Fi  
388,OYO Flagship 702286 P2 Guest House,7.2 km,India - . ,['Kolkata'],3.4,['8'],497, Parking facility  Free Wi-Fi  Power backup  
389,OYO 67427 Saga Guest House,5.9 km,Near Cf Block Swimmiming Pool,['Kolkata'],3.5,['81'],769, Geyser  Power backup  AC  
390,OYO Flagship 82200 Priyangshu Inn,8.9 km,,['Kolkata'],2.3,['7'],618, Reception  Free Wi-Fi  Caretaker  
391,OYO Flagship 703924 Airport View,9.9 km,India,['Kolkata'],3.6,['11'],626, Reception  Free Wi-Fi  Caretaker  
392,Capital O 700752 Hotel Dak Plaza,9.4 km,"Near Axis Mall, CE Block, Newtown 700156",['Kolkata'],4.0,['471'],824, Parking facility  Free Wi-Fi  TV  
393,Capital O 700246 Hotel New All In One,6.6 km,"CK-69, CK Block, Saltlake, Sector 2, West Bengal, 700091",['Kolkata'],4.6,['371'],2205, Parking facility  Free Wi-Fi  Power backup  
394,OYO Townhouse 1050 Centre Point Inn,1.5 km,Beside K. C. Das Sweet Esplanade Post Office,['Kolkata'],4.3,['1108'],2759,
395,OYO Flagship Trivedi Inn Near Ruby Hospital,6.8 km,Kasba,['Kolkata'],3.4,['219'],811, Hair Dryer  AC  TV  
396,OYO 65716 Ma Kali Guest House,5.0 km,"Near FD Block, Bidhannagar",['Kolkata'],3.5,['198'],1217, AC  Attached Washroom  TV  
397,Flagship 76077 Adri Hotels 2,8.2 km,Near ILS Hospitals Dum Dum Nagerbazar Opposite Bhutan House,['Kolkata'],4.4,['1643'],1099, Parking facility  Free Wi-Fi  Power backup  
398,Capital O 82197 Fortune Inn,6.8 km,Kasba,['Kolkata'],3.3,['107'],742,
399,OYO 92262 Ankan Regency,7.5 km,"595, Rajdanga main road, Near KMDA office Kolkata, 700107",['Kolkata'],4.2,['217'],1103, Reception  Free Wi-Fi  Caretaker  
