Hotel_Names,Distance,Address,City,Ratings,Votes,Prices,Features
Flagship 76655 Goldhorn Hotels Mehdipatnam,5.3,Mehdipatnam,Hyderabad,4.2,1948,924, Living Room  Cot  Washing Machine  
OYO 37427 Hotel Shannu Grand,8.9,"Near Apollo Pharmacy, Secunderabad",Hyderabad,4,1317,965, Parking facility  Reception  Free Wi-Fi  
Flagship 75519 White Ridge,6.6,"Near Sai Sanjeevani Hospital, Huda Colony",Hyderabad,4,2048,999, Private entrance  Parking facility  Reception  
Collection O 81203 Shining Suites,10,Near Erragadda Metro,Hyderabad,3.5,421,702, Free Wi-Fi  Geyser  Daily housekeeping  
Capital O 10225 Wild Wings Hotel,6,"Laxmi Nagar Colony, Kothapet",Hyderabad,4,827,1314, Parking facility  Free Wi-Fi  Power backup  
OYO 14726 Hotel Vaishnavi Park,5.8,"Near Monda Market, Shivaji Nagar",Hyderabad,3.7,1582,1015, Elevator  Free Wi-Fi  Geyser  
OYO 91284 Ambica Lodge,5.5,Punjagutta,Hyderabad,3.5,179,931, Parking facility  Free Wi-Fi  Geyser  
OYO 89107 Royal Stay,8.3,Ranga Reddy,Hyderabad,4.4,442,834, Reception  Free Wi-Fi  AC  
OYO Townhouse 600 Gangothri,5.7,Near RP Road BUS STOP,Hyderabad,4.4,3179,1300, Private entrance  Parking facility  Reception  
OYO Flagship 80468 Hotel R Square,4.9,Dilsukhnagar,Hyderabad,3.2,26,1025, Geyser  Power backup  AC  
OYO 88350 Hanuma Residency,6.9,Behind OZONE Hospital,Hyderabad,3.9,1042,798, Hair Dryer  Parking facility  Reception  
Collection O 9386 Hotel Happy Stay,6.9,"Near ICICI Bank, Begumpet",Hyderabad,3.8,1711,1136, AC  TV 
OYO 40869 White Ridge,7.1,"Near Sanjeevini Hospital, Kothapet road",Hyderabad,4.2,1815,856, Reception  Free Wi-Fi  Power backup  
OYO Home 79924 Pramod Prime Homes,8.1,Nagole,Hyderabad,4.3,1503,1215, Free Wi-Fi  TV  AC 
SPOT ON 81775 Mohit Gokul Lodge New Room's,5.9,Near To Secunderbad East Metro Rail Station,Hyderabad,3.5,657,901, Parking facility  Reception  Free Wi-Fi  
OYO Townhouse 862 Che Sigma,9,Malkajgiri,Hyderabad,4.2,2685,1507, Parking facility  Reception  Ticket tour assistance  
OYO Flagship 805239 Qualia Hotel Dilsukhnagar,4.5,dilshuknagar,Hyderabad,4.1,19,1154, Elevator  Geyser  Power backup  
Flagship 76687 Ramoji Kothapet,5.8,Kothapet,Hyderabad,4,2232,1257, Private entrance  Reception  Free Wi-Fi  
OYO 11316 Athithi Inn,6.8,"Near Maithrivanam Complex, Ameerpet",Hyderabad,3.7,2571,1310, Parking facility  Free Wi-Fi  Power backup  
